"We can't find posts matching the selection.","There are currently no posts in this category."
"Read more &#187;","Read more &#187;"
Archive,Archive
"Archive %s","Archive %s"
Categories,Categories
"Recent Posts","Recent Posts"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Buy %1 for: ","Buy %1 for: "
"Click for price","Click for price"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
"Compare Products","Compare Item"
"Print This Page","Print This Page"
"Remove Product","Remove Item"
Product,Product
"Add to Cart","Add to Basket"
"In stock","In stock"
"Out of stock","Out of stock"
"%1's Wish List","%1's Gallery"
"Add to Wish List","Add to My Gallery"
"Wish List Sharing","My Gallery Sharing"
"You have no items to compare.","You have no items to compare."
"Remove This Item","Remove This Item"
Compare,Compare
"Clear All","Clear All"
"We can't find products matching the selection.","There are currently no stock items in this category. We list new pictures weekly so please check back soon."
"Add to Compare","Add to Compare"
"Related Products","Related Item"
"We found other products you might like!","We found other items you might like!"
"More Choices:","More Choices:"
"New Products","New Item"
"Check items to add to the cart or","Check items to add to the basket or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Show,Show
"per page","per page"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
"Learn More","Learn More"
"Add to Basket","Add to Basket"
"More Information","More Information"
label,label
Loading...,Loading...
Email,Email
Change,Change
Delete,Delete
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
px.,px.
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"* Required Fields","* Required Fields"
Availability,Availability
Sold,Sold
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Discount","Cancel Discount"
"Shopping Basket Items","My Basket"
"My Basket","My Basket"
Price,Price
"Continue Shopping","Continue Shopping"
"Clear Shopping Basket","Clear Basket"
Item,Item
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Remove item","Remove item"
Basket,Basket
"You have no items in your shopping basket.","You have no items in your basket."
"Click <strong><a href=""%1"">here</a></strong> to continue shopping.","Click <strong><a href=""%1"">here</a></strong> to continue shopping."
"You added %1 to your <a href=""%2"">basket</a>.","You added %1 to your <a href=""%2"">basket</a>."
"Proceed to Checkout","Proceed to Checkout"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"You will receive an order confirmation email.","You will receive an order confirmation email."
"Contact Us","Contact Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Contact us and we’ll get back to you as quickly as possible."
Name,Name
"Phone Number","Phone Number"
"What’s on your mind?","Message"
Submit,Submit
"Address Book","Address Book"
"Manage Addresses","Manage Addresses"
"Newsletter Subscriptions","Newsletter Subscription"
"Default Billing Address","Billing Address (default)"
"Edit Address","Edit"
"Default Shipping Address","Delivery Address (default)"
" Use as my default shipping address"," Use as my default delivery address"
"Account Information","My Details"
"Contact Information","Contact Information"
Edit,Edit
"Change Password","Change Password"
Back,Back
"Default Addresses","Address Book"
"Change Billing Address","Edit"
"You have no default billing address in your address book.","You have no default billing address in your address book."
"Change Shipping Address","Edit"
"You have no default shipping address in your address book.","You have no default delivery address in your address book."
"Additional Address Entries","Additional Addresses"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"Add New Address","Add New Address"
Address,Address
"Street Address %1","Address %1"
City,City
"Please select a region, state or province.","Please select a region, state or province."
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Change Email","Change Email"
"Change Email and Password","Change Email and Password"
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Reset My Password"
"Registered Customers","Sign In"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
"Sign In","Sign In"
"Forgot Your Password?","Forgotten Your Password?"
Unsubscribe,Unsubscribe
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Personal Information","Personal Information"
"Address Information","Address Information"
"Street Address","Address"
State/Province,Region/State/Province
"Zip/Postal Code","Postcode/Zip"
Country,Country
"Sign-in Information","Sign-in Information"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Set a New Password","Set a New Password"
"New Customers","New Customers"
"A customer with the same email already exists in an associated website.","This email address is already registered to an existing customer account."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits; Save checkout information for faster checkout, store additional shipping addresses, check the status of an order, access our My Gallery feature."
"Email address","Email address"
Search,Search
"Search artwork, stock code, artist, subject ...","Search artwork, stock code, artist, subject ..."
"Remove Recipent","Remove Recipent"
Remove,Remove
Sender,From
"Sender","From"
Message,Message
Invitee,Invitee
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Add another recipient"
"Send Email","Send Email"
"Welcome, %1!","Welcome, %1!"
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item(s)","%1 Item(s)"
Previous,Previous
Next,Next
"Stored Payment Methods","Payment Methods"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
Type,Type
"You have no stored payment methods.","You have no stored payment methods."
ending,ending
Actions,Actions
"Share Wish List","Share My Gallery"
"Add All to Cart","Add All to Basket"
"Update Wish List","Update My Gallery"
"Move to My Gallery","Move to My Gallery"
"Add to My Gallery","Add to My Gallery"
"Remove Item","Remove Item"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Gallery List."
"Last Added Items","Last Added Items"
"Go to Wish List","Go to My Gallery"
"My Wish List","My Gallery"
"You have no items in your wish list.","You have no items in your gallery list."
"Search artist, subject, stock code and more…","Search artist, subject, stock code and more…"
"Credit Card Information","Credit Card Information"
"Credit Card Number","Credit Card Number"
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number"
"Please, enter valid Expiration Date","Please, enter valid Expiration Date"
"Card Verification Number","Card Verification Number"
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number"
"What is this?","What is this?"
"Save for later use.","Save for later use."
"Place Order","Place Order"
"Email","Email"
Update,Update
Cancel,Cancel
"My billing and shipping address are the same","My billing and shipping address are the same / Uncheck this box to revise your billing address"
"You can create an account after checkout.","Continue to checkout as guest. If you wish, you can create an account immediately after checkout to save the details of this order to your account."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will be redirected to our homepage."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled. Please try again."
Login,Login
"See Details","See Details"
"Options Details","Options Details"
"Basket Subtotal","Basket Subtotal"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","You can track your order status by creating an account."
"Forgot an Item?","Forgot an Item?"
"Edit Your Basket","Edit Your Basket"
"Deliver To:","Deliver To"
"edit delivery address","edit delivery address"
"Shipping Method:","Delivery Method"
"Shipping Method","Delivery Method"
"Shipment #","Delivery #"
"Order Shipments","Order Deliveries"
"Print Shipment","Print Delivery"
"Print All Shipments","Print All Deliveries"
"Track this shipment","Track This Delivery"
"Track All Shipments","Track All Deliveries"
"Payment Method","Payment Method"
"Select a new payment method","Select a New Payment Method"
"edit delivery method","edit delivery method"
"Order Summary","Order Summary"
"View and Edit Basket","View and Edit Basket"
"What is PayPal?","What is PayPal?"
"Continue to PayPal","Continue to PayPal"
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"Cancel coupon","Cancel discount"
"Your coupon was successfully applied","Your discount was successfully applied"
"Your coupon was successfully removed","Your discount was successfully removed"
You used coupon code "%1".,You used discount code "%1".
The coupon code "%1" is not valid.,The discount code "%1" is not valid.
You canceled the coupon code.,You canceled the discount code.
We cannot apply the coupon code.,We cannot apply the discount code.
Cancel Coupon,Cancel Discount
Adding...,Adding...
Added,Added
"Delivery","Delivery"
"Please specify a delivery method.","Please specify a delivery method."
Overview,Overview
Inscribed,Inscribed
Details,Details
"Catalog Advanced Search","Catalog Advanced Search"
"Shipping Address","Delivery Address"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"For delivery questions.","We will only use this to contact you about delivery of your order if necessary."
"Shipping & Handling","Delivery"
Payment,Payment
"Cart Subtotal","Basket Subtotal"
"Items in Cart","Items in Basket"
Shipping,Delivery
"Shipping","Delivery"
"Not yet calculated","Not yet calculated"
"Order Total","Order Total"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Edit Account Information"
"Password forgotten","Password forgotten"
"My Dashboard","My Dashboard"
"You are signed out","You are signed out"
"My Account","Account Overview"
"Product Details and Comment","Item Details and Comment"
"Product Name","Item Name"
"Search terms","Search terms"
"Catalog Products List","Catalog Items List"
"List of Products","List of Items"
Title,Title
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Items per Page"
"Number of Products to Display","Number of Items to Display"
Template,Template
"Products Grid Template","Items Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
Conditions,Conditions
"We don't have as many ""%1"" as you requested.","'%1' is already in your basket."
"Some of the products are out of stock.","Some of the items are out of stock."
"This product is out of stock.","This item is out of stock."
"%1 has been moved to your wish list.","%1 has been moved to 'My Gallery'."
"%1 has been added to your Wish List.","%1 has been added to 'My Gallery'."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""/"">here</a> to return to the homepage."
"%1 has been removed from your Wish List.","%1 has been removed from 'My Gallery'."
"Your wish list has been shared.","'My Gallery' has been shared."
"Wish List is empty now.","Gallery is empty now."
"You added %1 to your shopping cart.","You added %1 to your basket."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from your basket?"
"Cms page","Information Pages"